id;gender;grade;class;nfc_01;nfc_02;nfc_03;nfc_04;nfc_05;nfc_06;nfc_07;nfc_08;nfc_09;nfc_10;nfc_11;nfc_12;nfc_13;nfc_14;nfc_15;nfc_16;ipip_01;ipip_02;ipip_03;ipip_04;ipip_05;ipip_06;ipip_07;ipip_08;ipip_09;ipip_10;ipip_11;ipip_12;ipip_13;ipip_14;ipip_15;ipip_16;ipip_17;ipip_18;ipip_19;ipip_20;ipip_21;ipip_22;ipip_23;ipip_24;ipip_25;ipip_26;ipip_27;ipip_28;ipip_29;ipip_30;ipip_31;ipip_32;ipip_33;ipip_34;ipip_35;ipip_36;ipip_37;ipip_38;ipip_39;ipip_40;ipip_41;ipip_42;ipip_43;ipip_44;ipip_45;ipip_46;ipip_47;ipip_48;ipip_49;ipip_50
174;F;8;B;4;2;2;2;3;1;1;2;2;4;4;5;5;4;4;5;4;2;4;4;2;1;5;5;4;4;4;1;2;2;4;2;4;4;2;2;4;5;2;4;4;1;4;4;4;2;5;1;4;2;1;2;5;4;1;1;1;4;1;4;5;2;4;2;2;4
175;M;8;B;4;2;5;4;2;2;2;4;4;2;2;4;2;4;2;2;5;4;2;2;2;1;1;2;4;2;1;5;4;2;4;1;2;2;4;2;5;5;4;4;4;2;4;1;5;2;1;4;4;4;4;2;4;2;2;1;4;2;4;5;5;5;5;1;4;5
176;M;8;B;2;2;2;4;2;2;2;2;4;4;4;4;4;4;4;4;4;4;2;2;4;2;4;2;4;3;3;2;4;2;4;2;2;2;5;5;2;4;1;2;2;2;2;4;2;2;2;4;4;4;4;4;5;4;4;2;2;1;2;2;4;4;4;3;2;4
177;M;8;B;4;4;4;5;4;4;4;3;4;2;2;2;3;4;3;2;1;2;3;4;4;4;3;2;2;2;3;2;4;4;3;4;3;2;2;3;2;2;2;4;4;4;3;2;3;2;2;2;4;4;4;4;4;3;3;3;1;4;3;4;4;5;3;3;2;4
178;F;8;B;4;1;5;2;-99;1;1;4;1;4;5;5;5;5;5;5;5;2;4;5;4;1;5;1;1;1;4;2;5;5;5;1;5;2;1;1;5;1;2;5;5;1;5;1;5;1;5;1;5;5;4;1;5;4;5;4;5;5;2;5;5;1;5;2;5;5
179;M;8;B;4;3;4;3;5;4;4;3;3;4;4;2;5;2;2;2;3;4;3;3;1;3;5;2;1;3;2;2;3;4;3;2;5;3;2;3;2;1;3;4;2;5;5;4;3;4;3;2;4;3;1;3;4;4;3;2;3;5;2;2;4;3;3;2;4;2
180;F;8;B;4;4;4;4;1;1;2;1;3;2;5;5;3;1;4;4;3;3;2;4;3;2;3;3;2;4;2;3;2;5;3;2;4;5;2;3;2;2;1;5;2;4;3;4;5;2;4;2;2;5;2;3;5;4;5;2;5;4;4;5;5;4;3;3;4;2
181;M;8;B;4;4;3;3;1;2;3;2;4;4;3;2;4;3;3;2;4;2;3;2;2;1;3;4;4;4;4;2;2;2;3;1;3;3;3;3;5;2;1;3;2;2;2;4;4;3;4;1;2;3;4;1;4;4;3;2;5;4;2;4;3;1;1;3;2;4
182;M;8;B;3;3;3;3;3;2;2;3;4;3;4;3;3;3;3;3;4;3;3;2;3;1;4;3;3;3;4;2;4;2;5;2;3;2;2;1;3;2;3;3;4;2;4;2;3;1;4;1;4;3;3;2;4;2;4;3;5;3;4;3;2;2;2;3;2;5
183;F;8;B;4;2;3;3;1;1;2;2;2;4;4;4;1;3;4;3;4;2;3;2;4;1;3;5;3;3;5;2;2;4;4;1;3;3;5;4;5;1;2;2;4;1;3;4;5;2;4;3;2;4;4;2;5;3;4;2;5;4;3;4;2;3;3;2;2;4
184;M;8;B;3;3;5;2;5;5;2;2;5;4;3;2;3;2;4;4;5;3;2;3;4;1;5;4;4;3;4;5;2;3;5;1;4;4;4;3;4;4;4;3;5;1;5;4;5;1;4;5;3;5;4;1;4;4;4;3;5;4;3;5;4;3;5;3;2;5
185;F;8;B;4;4;3;4;2;1;1;2;2;4;2;4;4;2;4;4;3;1;3;4;2;4;5;4;2;4;3;2;4;5;5;5;4;3;1;3;2;1;2;4;3;4;4;5;4;4;3;2;4;3;1;5;4;3;3;2;1;4;3;4;4;5;-99;3;4;2
186;F;8;B;4;3;5;5;2;3;3;4;3;4;3;3;4;4;2;2;4;2;3;5;3;2;5;5;1;2;3;2;4;5;4;3;5;5;1;2;4;1;1;5;3;5;4;5;5;1;4;1;5;5;2;2;3;4;5;4;5;5;3;5;5;4;4;2;5;5
187;F;8;B;4;3;4;3;4;3;2;2;4;2;3;3;3;4;2;3;3;2;4;3;4;3;4;1;3;1;2;1;5;4;5;4;5;2;1;1;3;2;3;2;4;2;4;4;1;1;1;1;5;2;4;5;4;3;1;3;2;5;4;1;5;5;4;3;5;4
